group	target	artifact	typed_edge_flow_v1	llvm_memory_effects_v1	svf_solved_points_to_v1	ffi_argument_identity_v1	external_deallocation_effects_v1	allocation_state_v1	typed_edges	normal_edges	unwind_edges
corpus	boxed_u128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u128__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_u16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u16__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_u16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u16__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_u16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u16__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_u32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u32__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_u32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u32__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_u32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u32__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_u64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u64__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_u64__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u64__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_u64__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u64__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_u8__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u8__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_u8__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u8__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_u8__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_u8__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_usize__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_usize__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_usize__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_usize__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_usize__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_usize__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	branch_df_mem_leak_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/branch_df_mem_leak_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	51	46	5
corpus	c-callback-rust-closure	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c-callback-rust-closure/annotated_icfg_v2.json	1	1	1	0	1	1	108	93	15
corpus	c_calloc_leak_ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_calloc_leak_ml/annotated_icfg_v2.json	1	1	1	0	1	1	14	14	0
corpus	clean_alloc_read_and_drop	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/clean_alloc_read_and_drop/annotated_icfg_v2.json	1	0	0	0	1	1	15	10	5
corpus	clean_cstring_no_errors_only_rust	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/clean_cstring_no_errors_only_rust/annotated_icfg_v2.json	1	0	0	0	1	1	5	5	0
corpus	clean_into_from_raw	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/clean_into_from_raw/annotated_icfg_v2.json	1	0	0	0	1	1	35	20	15
corpus	clean_mul_fn_ffi_no_errors	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/clean_mul_fn_ffi_no_errors/annotated_icfg_v2.json	1	1	1	1	1	1	51	42	9
corpus	clean_struct_point_mem_leak_into_raw_no_errors	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/clean_struct_point_mem_leak_into_raw_no_errors/annotated_icfg_v2.json	1	0	0	0	1	1	55	35	20
corpus	closure_df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/closure_df/annotated_icfg_v2.json	1	0	0	0	1	1	10	10	0
corpus	c_malloc_c_double_free_df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_c_double_free_df/annotated_icfg_v2.json	1	1	1	1	1	1	46	46	0
corpus	c_malloc_c_free_clean	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_c_free_clean/annotated_icfg_v2.json	1	1	1	1	1	1	38	38	0
corpus	c_malloc_c_free_then_rust_use_uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_c_free_then_rust_use_uaf/annotated_icfg_v2.json	1	1	1	1	1	1	36	36	0
corpus	c_malloc_cstr_borrow_c_free_clean	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_cstr_borrow_c_free_clean/annotated_icfg_v2.json	1	1	1	1	1	1	53	49	4
corpus	c_malloc_leak_ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_leak_ml/annotated_icfg_v2.json	1	1	1	0	1	1	27	27	0
corpus	c_malloc_rust_box_from_raw_ub	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_box_from_raw_ub/annotated_icfg_v2.json	1	1	1	0	1	1	34	30	4
corpus	c_malloc_rust_cstring_from_raw_ub	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_cstring_from_raw_ub/annotated_icfg_v2.json	1	1	1	0	1	1	42	38	4
corpus	c_malloc_rust_double_free_df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_double_free_df/annotated_icfg_v2.json	1	1	1	0	1	1	28	28	0
corpus	c_malloc_rust_free_clean	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_free_clean/annotated_icfg_v2.json	1	1	1	0	1	1	29	29	0
