key	group	target	entry_point	exit_code
for_df_ffi	ffi	a-code_c_ffi/for_df_ffi		0
for_memory_leak_ffi	ffi	a-code_c_ffi/for_memory_leak_ffi		0
uaf_mem_leak_ffi	ffi	a-code_c_ffi/uaf_mem_leak_ffi		0
vuln_only_mem_leak_but_df_branch_overapprox_FFI	ffi	a-code_c_ffi/vuln_only_mem_leak_but_df_branch_overapprox_FFI		0
warning_ub_bool	ffi	a-code_c_ffi/warning_ub_bool		0
warning_ub_int	ffi	a-code_c_ffi/warning_ub_int		0
warning_ub_mult	ffi	a-code_c_ffi/warning_ub_mult		0
warning_ub_string	ffi	a-code_c_ffi/warning_ub_string		0
noGenerator	github	found vulns/noGenerator		0
wasm-demo	github	found vulns/wasm-demo	rust::demo_new_state::bb0	0
skip-list-test	github	found vulns/skip-list-test		0
rusant	github	found vulns/rusant		0
napkin-math-test	github	found vulns/napkin-math-test		0
shared-register	github	found vulns/shared-register		0
whisper-rs-example	github	found vulns/whisper-rs-example		0
lock-free	github	found vulns/lock-free	rust::LockFreeStack::::push::bb0	0
rust_memory	github	no_errors_projects/rust_memory		0
unsized_struct	github	no_errors_projects/unsized_struct		0
unsafely-created-owned-type	github	no_errors_projects/unsafely-created-owned-type		0
lock_free_non_blocking_linked_list	github	no_errors_projects/lock_free_non_blocking_linked_list		0
c-callback-rust-closure	github	no_errors_projects/c-callback-rust-closure		0
concurrent-verification	github	no_errors_projects/concurrent-verification		0
stackswap-coroutines	github	no_errors_projects/stackswap-coroutines		0
rc-playground	github	no_errors_projects/rc-playground		0
square	github	no_errors_projects/square		0
rust_hw3	github	no_errors_projects/rust_hw3		0
openapi-client-gen	github	no_errors_projects/openapi-client-gen		0
rust-boks	github	no_errors_projects/rust-boks		0
