group	target	graph_sha256	schema	entry	nodes	reachable_nodes	unreachable_nodes	edges	variables	allocations	graph_validation	identity_sidecar	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	stackswap-coroutines	18343e61817651cb324fe01486104a9e9b88bde478552002a220be3b9ea0c382	2	rust::main::bb0	316	1	315	341	85	0	PASS	FAIL	ff	ff	ff	ff	ff	ff	ff	ff	ff	tt	ff	ff
corpus	std_mem_forget_mem_leak_rust	0581b0e95a1e205ccf84c940e16373682c662a371c011946fe10bea04f065fd8	2	rust::main::bb0	5	5	0	4	8	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	struct_point_df_only_rust	508ce491740bed023e0f0ed24d3f896b7bae4d9581bb6a9d8b1e639746fb119f	2	rust::main::bb0	37	37	0	59	61	2	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	struct_point_mem_leak	52b0d15cc7e54614ddd4c1a68c9cf335c2746d42a7df73907a024f1685aec78c	2	rust::main::bb0	31	30	1	43	69	2	PASS	FAIL	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	uaf_mem_leak_ffi	58b52d20a727e18f9a4e3152118b020526fa4a99f94e5f2e48b6244cd3e427c6	2	rust::main::bb0	36	33	3	34	70	2	PASS	FAIL	unk	unk	ff	ff	unk	unk	ff	tt	ff	tt	unk	unk
corpus	uaf_read_ptr	3ea3b7f7e343ca00b60478360d08dedabdad8000de4040779d9ab9f4b82608b8	2	rust::main::bb0	10	10	0	9	24	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	unk	unk
corpus	unsafely-created-owned-type	b426b87732816a2ea144b42ea23bc100aeb309e24303a5ffe8cb62fa4c64cb5c	2	rust::main::bb0	47	37	10	45	29	1	PASS	FAIL	unk	unk	ff	ff	unk	unk	ff	tt	unk	tt	ff	ff
corpus	unsized_struct	f94ca1f04eea080ccc0690d6ef9a745ea4affa0be48428bdc717822a02640294	2	rust::main::bb0	66	32	34	56	37	0	PASS	FAIL	ff	ff	ff	ff	ff	ff	tt	tt	ff	tt	ff	ff
corpus	vuln_only_mem_leak_but_df_branch_overapprox_FFI	6180eab19cc73dff4ccc419ee366507934ebcd89d5796d75774be1eb14aaded3	2	rust::main::bb0	47	47	0	51	66	2	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	unk	tt	unk	unk
corpus	warning_ub_bool	199cd598b2af257b199a5e5570b0870f8dfc10c6f6970765efa39498ccc4db0c	2	rust::main::bb0	17	17	0	17	19	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	warning_ub_int	f16da4b736ac3aede0769f7ed270596bff61a0c0f6a115696d17fa460a6b806d	2	rust::main::bb0	18	18	0	17	22	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	ff	ff	tt	ff	ff
corpus	warning_ub_mult	ff8003a33894af021b5f7a3321e9f0e57ffed4d155cbeeb695884203eb0721d4	2	rust::main::bb0	51	51	0	52	62	3	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	warning_ub_string	8010520e9a32f8d358c6a677e96b88e7ca951d474c864d0ba3bc3c62cf25b510	2	rust::main::bb0	17	17	0	17	19	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	wasm-demo	e3f3ec4a3613bcebbfa4a68b728915a5ece15089a49e22840f83c8aabdb86071	2	rust::demo_new_state::bb0	16	3	13	12	7	1	PASS	FAIL	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	whisper-rs-example	39e4ca9d33ad3135c2122cce706ffc4dcf5837e64317e6b827ec2c5a181166b6	2	rust::main::bb0	92	78	14	143	82	1	PASS	FAIL	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
registry	memchr-2.7.4	3e463ac797d28cce479fa4f73a2d36bca930ae4a0563ef83529ead1a2b72ca4f	2	rust::memchr::memchr::bb0	4441	142	4299	4976	159	0	PASS	FAIL	ff	ff	ff	ff	ff	ff	tt	tt	ff	tt	ff	ff
registry	ryu-1.0.20	dcb8487f12e0174a37830d7104f0119bc64c744dc49834fa8873f6de8d1a4297	2	rust::pretty::format32::bb0	1054	951	103	1208	274	0	PASS	FAIL	ff	ff	ff	ff	ff	ff	tt	tt	ff	tt	ff	ff
registry	unicode-ident-1.0.18	c13a64aa3914c0d91cc36d960b4ed18278f16f79cd4b901a4fd955a0bb486e37	2	rust::is_xid_start::bb0	36	18	18	36	50	0	PASS	FAIL	ff	ff	ff	ff	ff	ff	tt	tt	ff	tt	ff	ff
