group	target	graph_sha256	schema	entry	nodes	reachable_nodes	unreachable_nodes	edges	variables	allocations	graph_validation	identity_sidecar	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	boxed_i8__df	8bd6c78956259a99370c81e77ed785d486e165184bdb15c2772bd52f6eb7010c	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__ml	a668fec3c4107e865e6e78a11e1ad9ee59eb03c98875765ffbb17e49b6945ff1	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__uaf	7ce23d2810a9aba887bc50fee638ad819f22e9af9285992349a7a0475e013b0c	2	rust::main::bb0	15	15	0	23	35	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_isize__df	765809cf94d8f2dacb2f596b15ab346615255bcbe60677e3d17293652c073200	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_isize__ml	fa56513e2486aeed9e4c19e0e9690b82ab5b3ea648eabda7b26f7dd7fa54dd1e	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_isize__uaf	1c44ff44922b02a83afe54fbd6eed3acc75aad1d8ece6b1c85bf7f607f0a48c7	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u128__df	152cb4a751de482488bf0c2ede43798b3e97bf488e15f894c007cf60e8276d35	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u128__ml	01540d9a65f53bb671bfe7f2436520f9e3d8a5e70473bab3c8aed5cc2593cdd8	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u128__uaf	0b4cd07b8b61d617a28f2b380d34464e7f2d4e64b5dfba7086a9ea5550be4d29	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u16__df	dac093bc830d3d66de039e12dbb25abc229008e50e15d706af02f58e1faa3578	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u16__ml	22ad605e07ef29bd862265c0092e44752c02a3759dd8c2455c5bb3a5c1a3a963	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u16__uaf	6815b4d9f70fc66cd5ca3712b865f736d26fa49b513a5c2461a47b9166336eb3	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u32__df	c21991cee829af62042a5777db377ed36d85293b1c7b367b29082a7f61126d9f	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u32__ml	17f44c7cb8586bc48d8146ee2c5c6b6d8cf8f17331a7c424e576a2b76e2e2a2c	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u32__uaf	d6f0ca0ef63854c5432cdb4e823e08dfe924e6286162d697c925fe8dd09521e7	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u64__df	60e20a37cc42298908d847f47cd7bd174619e8e06285fc6f0de761e73dabd661	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u64__ml	63e8d4f170ed9903e7c6981a61cfc0afaf740e8d2068aad0f2c2db638d42ae21	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u64__uaf	6a12a028beabb527c7a9c81556068888aea6ab02df37a6f01d554c6d6189c354	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u8__df	73068570d74f3a2a9aaca4686a16f1daa957b709593b89acb6a21f32505aaea7	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u8__ml	abbf701a82f13aad31bf7f72b0ed95707fc9b0961b4305fd3696db6843478e3f	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u8__uaf	7cc74b31e17435eb6fc2b692ee180c0088a03ad199b52bc856ecfe7d21fd71f6	2	rust::main::bb0	15	15	0	23	35	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_usize__df	c8c72921538e42875e1fc486a5736eb5653ac53b026a75404e7a51618c6e042f	2	rust::main::bb0	15	15	0	23	22	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_usize__ml	7644cbb241973eaa2794ad720a75a5bd42ee05b40c1994f6c5f5e95844a97a74	2	rust::main::bb0	10	10	0	13	18	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_usize__uaf	06d44b1a3788d84245a3951840ba21ab9bff3335d56ea179b97c94c5eeebb049	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	branch_df_mem_leak_ffi	6180eab19cc73dff4ccc419ee366507934ebcd89d5796d75774be1eb14aaded3	2	rust::main::bb0	47	47	0	51	66	2	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	unk	tt	unk	unk
corpus	c-callback-rust-closure	091e3a301a52c834fbab1d74a8a25a1b936ab43df21cf89814eee2dc93b386c4	2	rust::main::bb0	99	91	8	108	64	2	PASS	FAIL	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_calloc_leak_ml	b148d372e92e29833a134eaa0ac8cdbefa561fbae6cecbcafb45c6cc10701d3c	2	rust::main::bb0	14	14	0	14	21	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_malloc_c_double_free_df	0cee4849fc9846da7e647ff36af5ccd17c0c97c639212e8168f0c6e672c0f016	2	rust::main::bb0	45	45	0	46	47	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	ff	ff	tt	unk	unk
corpus	c_malloc_c_free_clean	3f338783518325cac6ec738baf6bdd49a0784840996d15a707d5ea33eb6a61b1	2	rust::main::bb0	37	37	0	38	47	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_malloc_c_free_then_rust_use_uaf	7765b75cb43e86c33ef4db0fe5c824ce10daae868437b8da949fb23abeada3ef	2	rust::main::bb0	35	35	0	36	39	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	unk	unk
corpus	c_malloc_cstr_borrow_c_free_clean	27fdcc7630b6dc2e5b872ca45863f7ced60e90c805f9d45209dbb71b962d0683	2	rust::main::bb0	50	50	0	53	61	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_malloc_leak_ml	8e837fddc03f24ad1b855d9779e798931b897164c6678efa2649d2a6510164cf	2	rust::main::bb0	26	26	0	27	36	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_malloc_rust_box_from_raw_ub	158d06d3669e8069d8b4177350349bad72d22caffc44c143d7739a9570498453	2	rust::main::bb0	31	31	0	34	40	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	unk	tt	ff	ff
